codigo_departamento;nombre_departamento;codigo_municipio;nombre_municipio
05;Antioquia;05045;Apartadó
05;Antioquia;05847;Urrao
05;Antioquia;05756;Sonsón
05;Antioquia;05659;San Juan De Urabá
05;Antioquia;05642;Salgar
05;Antioquia;05353;Hispania
05;Antioquia;05873;Vigía Del Fuerte
05;Antioquia;05154;Caucasia
05;Antioquia;05400;La Unión
05;Antioquia;05347;Heliconia
05;Antioquia;05475;Murindó
05;Antioquia;05854;Valdivia
05;Antioquia;05142;Caracolí
05;Antioquia;05604;Remedios
05;Antioquia;05030;Amagá
05;Antioquia;05001;Medellín
05;Antioquia;05145;Caramanta
05;Antioquia;05670;San Roque
05;Antioquia;05895;Zaragoza
05;Antioquia;05856;Valparaíso
05;Antioquia;05819;Toledo
05;Antioquia;05501;Olaya
05;Antioquia;05380;La Estrella
05;Antioquia;05631;Sabaneta
05;Antioquia;05483;Nariño
05;Antioquia;05031;Amalfi
05;Antioquia;05368;Jericó
05;Antioquia;05134;Campamento
05;Antioquia;05628;Sabanalarga
05;Antioquia;05591;Puerto Triunfo
05;Antioquia;05585;Puerto Nare
05;Antioquia;05543;Peque
05;Antioquia;05376;La Ceja
05;Antioquia;05310;Gómez Plata
05;Antioquia;05059;Armenia
05;Antioquia;05237;Donmatías
05;Antioquia;05658;San José De La Montaña
05;Antioquia;05266;Envigado
05;Antioquia;05761;Sopetrán
05;Antioquia;05440;Marinilla
05;Antioquia;05086;Belmira
05;Antioquia;05036;Angelópolis
05;Antioquia;05656;San Jerónimo
05;Antioquia;05234;Dabeiba
05;Antioquia;05308;Girardota
05;Antioquia;05647;San Andrés De Cuerquía
05;Antioquia;05038;Angostura
05;Antioquia;05576;Pueblorrico
05;Antioquia;05697;El Santuario
05;Antioquia;05240;Ebéjico
05;Antioquia;05315;Guadalupe
05;Antioquia;05665;San Pedro De Urabá
05;Antioquia;05360;Itagüí
05;Antioquia;05282;Fredonia
05;Antioquia;05093;Betulia
05;Antioquia;05667;San Rafael
05;Antioquia;05264;Entrerríos
05;Antioquia;05467;Montebello
05;Antioquia;05837;Turbo
05;Antioquia;05649;San Carlos
05;Antioquia;05206;Concepción
05;Antioquia;05051;Arboletes
05;Antioquia;05660;San Luis
05;Antioquia;05809;Titiribí
05;Antioquia;05079;Barbosa
05;Antioquia;05120;Cáceres
05;Antioquia;05890;Yolombó
05;Antioquia;05125;Caicedo
05;Antioquia;05284;Frontino
05;Antioquia;05088;Bello
05;Antioquia;05615;Rionegro
05;Antioquia;05150;Carolina
05;Antioquia;05887;Yarumal
05;Antioquia;05364;Jardín
05;Antioquia;05792;Tarso
05;Antioquia;05411;Liborina
05;Antioquia;05318;Guarne
05;Antioquia;05679;Santa Bárbara
05;Antioquia;05250;El Bagre
05;Antioquia;05789;Támesis
05;Antioquia;05674;San Vicente Ferrer
05;Antioquia;05197;Cocorná
05;Antioquia;05893;Yondó
05;Antioquia;05209;Concordia
05;Antioquia;05790;Tarazá
05;Antioquia;05113;Buriticá
05;Antioquia;05842;Uramita
05;Antioquia;05607;Retiro
05;Antioquia;05042;Santa Fé De Antioquia
05;Antioquia;05390;La Pintada
05;Antioquia;05664;San Pedro De Los Milagros
05;Antioquia;05021;Alejandría
05;Antioquia;05034;Andes
05;Antioquia;05129;Caldas
05;Antioquia;05101;Ciudad Bolívar
05;Antioquia;05885;Yalí
05;Antioquia;05858;Vegachí
05;Antioquia;05495;Nechí
05;Antioquia;05190;Cisneros
05;Antioquia;05172;Chigorodó
05;Antioquia;05002;Abejorral
05;Antioquia;05686;Santa Rosa De Osos
05;Antioquia;05138;Cañasgordas
05;Antioquia;05212;Copacabana
05;Antioquia;05490;Necoclí
05;Antioquia;05091;Betania
05;Antioquia;05861;Venecia
05;Antioquia;05306;Giraldo
05;Antioquia;05690;Santo Domingo
05;Antioquia;05055;Argelia
05;Antioquia;05044;Anzá
05;Antioquia;05148;El Carmen De Viboral
05;Antioquia;05040;Anorí
05;Antioquia;05736;Segovia
05;Antioquia;05361;Ituango
05;Antioquia;05147;Carepa
05;Antioquia;05652;San Francisco
05;Antioquia;05004;Abriaquí
05;Antioquia;05480;Mutatá
05;Antioquia;05321;Guatapé
05;Antioquia;05425;Maceo
05;Antioquia;05541;Peñol
05;Antioquia;05107;Briceño
05;Antioquia;05313;Granada
05;Antioquia;05579;Puerto Berrío
